,gtfs_agency_name,gtfs_stop_id,gtfs_stop_lat,gtfs_stop_lon,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_lon,osm_lat,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
4936,Sénart-Bus,StopPoint:29:58,48.652035,2.56203,065487110:SOL,33038,LIEUSAINT  MOISSY GARE RER,ORMEAU SALLE DES FETES,StopPoint:Node:2874052986,2.562289,48.6512202,065487110:SOL,33038,Lieusaint - Moissy Gare RER,Ormeau Salle des Fêtes,92.59597996861552
4940,Sénart-Bus,StopPoint:29:666,48.635414,2.575941,065487110:SOL,418871,LIEUSAINT  MOISSY GARE RER,ECOPOLE RIO,StopPoint:Node:3544901231,2.5762779,48.6412488,065487110:SOL,418871,Lieusaint - Moissy Gare RER,Écopôle Rio,649.3205670984969
4941,Sénart-Bus,StopPoint:29:667,48.635251,2.576211,065487110:SOL,418868,COMBS LA VILLE GARE RER,ECOPOLE RIO,StopPoint:Node:3544901232,2.5762323,48.6414809,065487110:SOL,418868,Combs-la-Ville - Quincy Gare RER,Écopôle Rio,692.7836400640101
5008,Sénart-Bus,StopPoint:29:9042,48.630136,2.558043,065487122:DO,424110,PORTE DE PARIS,BOIS DU BRAY,StopPoint:Node:4811656899,2.5570777,48.630291,065487122:DO,424110,Porte de Paris (Lieusaint),Bois du Bray,73.21205380123722
5043,Sénart-Bus,StopPoint:29:580,48.617877,2.570885,065487126:LA,33458,LIEUSAINT  MOISSY GARE RER,CHATEAU D EAU C.BERNARD,StopPoint:Node:4853616754,2.5699088999999997,48.6177619,065487126:LA,33458,Lieusaint - Moissy Gare RER,Château d'Eau C. Bernard,73.09716314943593
5070,Sénart-Bus,StopPoint:29:666,48.635414,2.575941,065487128:LA,418871,LIEUSAINT  MOISSY GARE RER,ECOPOLE RIO,StopPoint:Node:3544901231,2.5762779,48.6412488,065487128:LA,418871,Lieusaint - Moissy Gare RER,Écopôle Rio,649.3205670984969
5071,Sénart-Bus,StopPoint:29:667,48.635251,2.576211,065487128:LA,418868,LIEUSAINT  MOISSY GARE RER,ECOPOLE RIO,StopPoint:Node:3544901232,2.5762323,48.6414809,065487128:LA,418868,Lieusaint - Moissy Gare RER,Écopôle Rio,692.7836400640101
5199,CITALIEN,StopPoint:27:441,48.614476,2.544828,066487077:CITA,31127,Gare Routiere Mail,Carré trait d'Union,StopPoint:Node:4869871042,2.5442643,48.6156066,066487077:CITA,31127,Gare Routière Mail (Melun),Carré Trait d'Union,132.41753844622784
5206,CITALIEN,StopPoint:27:449,48.621151,2.540688,066487077:CITA,31134,Gare Routiere Mail,SENART CITOYENNETE,StopPoint:Node:4869871045,2.5425343,48.618293,066487077:CITA,31134,Gare Routière Mail (Melun),Carré Citoyenneté,345.7406408579388
5231,Phébus,StopPoint:36:2080,48.799981,2.066444,078078006:6,415371,Gare de Saint-Cyr l'Ecole,Mairie,StopPoint:Node:2015858270,2.0648646,48.800348899999996,078078006:6,415371,Gare de Saint-Cyr,Mairie,123.03093316665944
