route_id,name,code,destination,network
r1308585,Bus 306 : Noisy-le-Grand RER → Saint-Maur Créteil RER,306,Saint-Maur Créteil RER,RATP
r1312700,Bus 407 : Aunettes (Évry) → Ris-Orangis,407,Gare Val de Ris RER (Ris-Orangis),Évry Centre Essonne
r1345684,Bus S3 : Lycée Albert Einstein (Sainte-Geneviève-des-Bois) → Gare de Sainte-Geneviève-des-Bois,S3,Gare de Sainte Geneviève des Bois,Cœur d'Essonne
r1415394,Bus TUVIM Épinettes,TUVIM,Mairie d'Issy - Kléber,RATP
r1453980,Bus 303 : Noisy-le-Grand - Mont d'Est RER → Bobigny - Pablo Picasso,303,Bobigny - Pablo Picasso,RATP
r1454043,Bus 303 : Bobigny - Pablo Picasso → Noisy-le-Grand - Mont d'Est RER,303,Noisy-le-Grand RER,RATP
r1464808,Bus 258 : La Défense → Rueil-Malmaison – La Jonchère,258,Saint-Germain-en-Laye RER,RATP
r1464809,Bus 258 : Rueil-Malmaison – La Jonchère → La Défense,258,La Défense,RATP
r1484099,Bus 115: Porte des Lilas → Château de Vincennes,115,Château de Vincennes,RATP
r1484100,Bus 115: Château de Vincennes → Porte des Lilas,115,Porte des Lilas,RATP
r1493676,Bus 18B : Gare Foljuif → André Malraux,18B,André Malraux,Vallée du Loing - Nemours
r1520443,Bus 281 : Joinville-le-Pont RER → Créteil – Europarc,281,Créteil-Europarc,RATP
r1520505,Bus 281 : Créteil – Europarc → Joinville-le-Pont RER,281,Joinville-le-Pont RER,RATP
r1528610,"Bus F : Yerres, Grosbois → Yerres, Rond-Point Pasteur",F,"Yerres, Rond-Point Pasteur",Val d'Yerres Val de Seine
