line_id,code,name,network,operator,colour,osm:type,mode,osm:ref:FR:STIF:ExternalCode_Line
Line:relation:7177156,E,Bus E : Ville Haute Quai 2 ↔ Gare de Provins Quai 1,Probus,Procars,#FABB00,route_master,bus,228771009:PROBUSE
Line:relation:7177169,Bleue,Chavilbus Bleue,Chavilbus,Keolis Yvelines,,route_master,bus,078192003:ChavilB
Line:relation:7177170,Rouge,Chavilbus Rouge,Chavilbus,Keolis Yvelines,,route_master,bus,078192001:ChavilR
Line:relation:7194122,617,Bus 617 : Gare d'Aulnay-sous-Bois ↔ Segro Logistics Park,Seine-Saint-Denis,Transdev TRA,,route_master,bus,293193617:617
Line:relation:7194158,112,Bus 112 : Fontainebleau ↔ Fontaineroux ou Samoreau,Aérial,Transdev Île-de-France Vulaines,#F74C00,route_master,bus,062062112:112
Line:relation:7194163,14,Bus 14 : Gare de Conflans Fin d'Oise ↔ Gare Place Romagné,Conflans Achères,Transdev Île-de-France Conflans,#FFFF00,route_master,bus,212212014:14
Line:relation:7194182,22,Bus 22 : Dourdan ↔ Paray Douaville,Dourdanais,Transdev Île-de-France Rambouillet,,route_master,bus,013013022:22
Line:relation:7194184,18,Bus 18 : Gare de Dourdan ↔ Champarts (Ablis),Dourdanais,Transdev Île-de-France Rambouillet,,route_master,bus,013013018:18
Line:relation:7199517,13,Bus 13 : Combs-la-Ville - Quincy Gare RER (circulaire intérieur),Sénart Bus,Transdev Île-de-France Lieusaint,,route_master,bus,065487013:13
Line:relation:7202603,207,Bus 207 : Évry-Courcouronnes Gare ↔ Fontenay - Grande Rue,Val d'Essonne,Keolis Seine Essonne,#FFA500,route_master,bus,024024207:207
Line:relation:7204064,27,Bus 27 : Gare de Lieusaint-Moissy ↔ Green de Réau,Sénart Bus,Transdev Île-de-France Lieusaint,,route_master,bus,065487020:27
Line:relation:7208739,Eb,Bus Eb : Montereau Eglise ↔ Hameau de Chevinois,Siyonne,Transdev Interval,blue,route_master,bus,208208013:Eb
Line:relation:7208740,Ea,Bus Ea : Gare de Montereau-Fault-Yonne ↔ Route de Chevinois,Siyonne,Transdev Interval,blue,route_master,bus,208208007:Ea
Line:relation:7214891,Traverse,Traverse Brancion-Commerce,Autocars Dominique,B.E.-Green,#ABCF38,route_master,bus,333575515:TRAVERSE
Line:relation:7224864,37,Bus 37 : Centre Culturel ↔ Jacquard,Pep's,Transdev AMV,#FCE400,route_master,bus,051051037:37
Line:relation:7227705,2,Métro 2,RATP,RATP,#216EB4,route_master,subway,100110002:2
Line:relation:7234663,502,Bus 502 : Campus Sainte-Thérèse (Ozoir-la-Ferrière) ↔ Pontault-Combault,Sit'bus,Transdev N4 Mobilités,,route_master,bus,003351502:502
Line:relation:7234686,5,Bus 5 : Saint-Quentin en Yvelines ↔ Château,Hourtoule,Hourtoule,#644C18,route_master,bus,027027005:5
Line:relation:7244705,26,Bus 26 : Circulaire Chanteloup,Sénart Bus,Transdev Île-de-France Lieusaint,,route_master,bus,065487128:26
Line:relation:7244706,25,Bus 25 : Circulaire Claude Bernard,Sénart Bus,Transdev Île-de-France Lieusaint,,route_master,bus,065487126:25
Line:relation:7244792,208s,Bus 208s : Champigny–Saint-Maur RER (circulaire) via Paul Venzac (nuit),RATP,RATP,#000080,route_master,bus,100100208:208S
Line:relation:7245040,DM3A,Bus DM3A : RER Gare Condorcet ↔ F. Mitterrand - Viry-Châtillon,Daniel Meyer,Keolis Meyer,#d674ba,route_master,bus,055055003:DM03
Line:relation:7248309,24,Bus 24 : circulaire de Lieusaint,Sénart Bus,Transdev Île-de-France Lieusaint,,route_master,bus,065487127:24
Line:relation:7261212,389,Bus 389 : Hôtel de Ville Boulogne-Billancourt ↔ Clamart - Georges Pompidou,RATP,RATP,#006CB8,route_master,bus,100100389:389
Line:relation:7263065,02,Bus 02 : Les Prés Hauts (Saint-Pierre-du-Perray) ↔ Petit Sénart (Tigery),Sénartbus Essonne,Transdev Île-de-France Lieusaint,,route_master,bus,065487002:02
Line:relation:7271953,E,RER E,RER,SNCF,#BD76A1,route_master,train,800:E
Line:relation:7280948,Citalien,Bus Citalien : Carré Citoyenneté (Lieusaint) ↔ Gare Routière Mail (Melun),MELIBUS,Transdev Île-de-France Vaux-le-Pénil,,route_master,bus,066487077:CITA
Line:relation:7292418,9,Bus 9 : Centre Commercial Ulis 2 ↔ Gare du Guichet ↔ Saclay ↔ Gare de Jouy-en-Josas,Mobicaps,Les Cars d'Orsay,#DC2185,route_master,bus,269269002:9
Line:relation:7301947,35,Bus 35 : Savigny - Nandy Gare RER ↔ Cesson Gare RER,Sénart Bus,Transdev Île-de-France Lieusaint,,route_master,bus,065487060:35
Line:relation:7304704,52,Bus 52 : Gare de Mantes la Jolie ↔ Église (Fontenay Saint-Père),Com'Bus,CTVMI,#3D90C6,route_master,bus,057057052:52
Line:relation:7318440,2,Bus 2 : Gare de Chelles Gournay ↔ Paul Algis (Chelles),Apolo 7,STBC,#0033cc,route_master,bus,101261026:2
Line:relation:7323910,42,Bus 42 : Cesson Gare RER ↔ Hautes Billes (Vert-Saint-Denis),Sénart Bus,Transdev Île-de-France Lieusaint,,route_master,bus,065487042:42
Line:relation:7323911,43,Bus 43 : Cesson Gare RER ↔ Hautes Billes (Vert-Saint-Denis),Sénart Bus,Transdev Île-de-France Lieusaint,,route_master,bus,065487043:43
Line:relation:7331862,5,Bus 5 : Rond-Point des Sciences (Chelles) ↔ Gare de Lagny Thorigny,Apolo 7,STBC,#0099ff,route_master,bus,101261027:5
Line:relation:7346820,45,Bus 45 : Pontoise Gare ↔ Jules Verne,STIVO,STIVO,#C6BBDD,route_master,bus,059440045:45
Line:relation:7353488,60,Bus 60 : Cergy - Préfecture ↔ Clinique Sainte-Marie,STIVO,STIVO,#A50344,route_master,bus,059440060:60
Line:relation:7359261,59,Bus 59 : Préfecture RER ↔ Fond de Vaux,STIVO,STIVO,#E6057F,route_master,bus,059440059:59
